SKU,Barcode,ProductName,Category,SubCategory,Brand,UnitSize,BaseUnitPriceLKR,CostPriceLKR,TypicalShelfLifeDays,IsPerishable,PerishabilityTier,Supplier,SupplierSKU,CaseSize,MinOrderQty,MaxShelfCapacityUnits,BackroomCapacity,AverageWeeklySales,SeasonalityIndex,TurnoverDays
LK-DAI-4HPD7,4793480022643,Nespray Curd 80g,Dairy Products,Curd,Nespray,80g,125.0,110.17,20,True,MEDIUM,Kotmale Dairy Products,NES-NESP-80G-Y9,24,2,12,18,9.38,0.92,6.3
LK-DAI-KEU8S,4799847460424,Kotmale Fresh Milk 1L,Dairy Products,Fresh Milk,Kotmale,1L,840.0,728.61,8,True,MEDIUM,Ratnapura Dairy Products Supply Co. WGL,KOT-KOTM-1L-R7,6,3,58,3,41.46,1.17,6.9
LK-DAI-DTYKM,4796769889791,Anchor Cheese 500ml,Dairy Products,Cheese,Anchor,500ml,1059.95,937.19,12,True,MEDIUM,Kalutara Dairy Products Supply Co. T96,ANC-ANCH-500M-78,12,2,29,12,16.34,0.97,8.7
LK-DAI-P4AX5,4792751934630,Highland Fresh Milk 200g,Dairy Products,Fresh Milk,Highland,200g,549.95,475.48,9,True,MEDIUM,Kalutara Dairy Products Supply Co. T96,HIG-HIGH-200G-BH,6,2,45,38,41.84,1.02,5.3
LK-DAI-43JJR,4790706594809,Nespray Cheese 150g,Dairy Products,Cheese,Nespray,150g,1149.95,980.16,12,True,MEDIUM,Negombo Dairy Products Supply Co. ASM,NES-NESP-150G-QG,12,1,20,8,22.83,0.95,4.3
LK-DAI-9E4LU,4794756311218,Anchor Curd 1L,Dairy Products,Curd,Anchor,1L,469.9,400.56,17,True,MEDIUM,Ambewela Dairy Farm,ANC-ANCH-1L-A9,24,2,47,67,21.21,1.21,10.9
LK-DAI-32QY5,4795418028826,Ambewela Cheese 200g,Dairy Products,Cheese,Ambewela,200g,1119.9,955.79,12,True,MEDIUM,Negombo Dairy Products Supply Co. ASM,AMB-AMBE-200G-JE,6,3,39,0,13.58,1.23,14.1
LK-DAI-LU6CX,4792031329880,Nespray Yogurt 500ml,Dairy Products,Yogurt,Nespray,500ml,320.0,281.04,15,True,MEDIUM,Matara Dairy Products Supply Co. CZK,NES-NESP-500M-FL,6,2,13,9,2.48,1.02,25.7
LK-DAI-5XM8K,4798760320877,Ambewela Cheese 150g,Dairy Products,Cheese,Ambewela,150g,1590.0,1379.36,9,True,MEDIUM,Matara Dairy Products Supply Co. CZK,AMB-AMBE-150G-QT,12,1,59,25,11.32,1.18,25.5
LK-DAI-Z8RX5,4792327700454,Anchor Flavoured Milk 400g,Dairy Products,Dairy Other,Anchor,400g,420.0,356.32,17,True,MEDIUM,Ambewela Dairy Farm,ANC-ANCH-400G-XY,24,3,25,31,3.36,1.15,36.5
LK-DAI-BVLSC,4792555468935,Ambewela Butter 150g,Dairy Products,Butter,Ambewela,150g,930.0,795.82,21,True,MEDIUM,Ratnapura Dairy Products Supply Co. WGL,AMB-AMBE-150G-67,24,1,30,39,34.29,1.06,4.3
LK-DAI-7Q3X2,4799044846731,Highland Butter 150g,Dairy Products,Butter,Highland,150g,1160.0,989.88,13,True,MEDIUM,Ambewela Dairy Farm,HIG-HIGH-150G-MM,24,1,56,55,13.46,1.06,20.4
LK-DAI-LRSWT,4792640760890,Highland Curd 400g,Dairy Products,Curd,Highland,400g,339.95,290.32,21,True,MEDIUM,Negombo Dairy Products Supply Co. ASM,HIG-HIGH-400G-PD,6,2,57,66,21.96,1.05,12.7
LK-DAI-KQRY5,4798905810805,Anchor Yogurt 200g,Dairy Products,Yogurt,Anchor,200g,240.0,204.77,13,True,MEDIUM,Nestlé Lanka PLC,ANC-ANCH-200G-ZP,6,3,29,41,17.33,0.86,8.2
LK-DAI-W2Z5Z,4797945759594,Anchor Butter 80g,Dairy Products,Butter,Anchor,80g,1249.95,1071.98,8,True,MEDIUM,Ratnapura Dairy Products Supply Co. WGL,ANC-ANCH-80G-ZZ,6,2,32,21,9.1,0.9,17.2
LK-DAI-UEQYL,4795252078827,Kotmale Cheese 500ml,Dairy Products,Cheese,Kotmale,500ml,879.95,764.62,21,True,MEDIUM,Nestlé Lanka PLC,KOT-KOTM-500M-3W,6,1,51,93,59.34,1.21,4.2
LK-DAI-CJ82S,4797308824037,Ambewela Flavoured Milk 1L,Dairy Products,Dairy Other,Ambewela,1L,459.95,409.35,10,True,MEDIUM,Negombo Dairy Products Supply Co. ASM,AMB-AMBE-1L-RM,24,1,22,29,11.51,0.85,9.4
LK-DAI-BSFMF,4798052579594,Anchor Cheese 400g,Dairy Products,Cheese,Anchor,400g,1380.0,1213.32,20,True,MEDIUM,Ratnapura Dairy Products Supply Co. WGL,ANC-ANCH-400G-DB,12,3,50,105,44.22,1.11,5.5
LK-DAI-HPVQS,4798571339969,Highland Fresh Milk 400g,Dairy Products,Fresh Milk,Highland,400g,579.9,493.95,8,True,MEDIUM,Kotmale Dairy Products,HIG-HIGH-400G-75,24,3,17,3,9.4,0.9,8.9
LK-DAI-PFQCF,4794948029891,Highland Flavoured Milk 500ml,Dairy Products,Dairy Other,Highland,500ml,135.0,115.09,18,True,MEDIUM,Fonterra Brands Lanka,HIG-HIGH-500M-E2,24,3,31,62,26.11,1.08,5.8
LK-DAI-PNW3P,4791723667040,Anchor Butter 150g,Dairy Products,Butter,Anchor,150g,1669.95,1478.82,17,True,MEDIUM,Nestlé Lanka PLC,ANC-ANCH-150G-8F,6,2,56,97,5.57,1.21,49.3
LK-DAI-HRPLB,4793449560711,Ambewela Flavoured Milk 200g,Dairy Products,Dairy Other,Ambewela,200g,349.95,299.41,7,True,MEDIUM,Highland Milk Cooperative,AMB-AMBE-200G-83,12,1,57,27,47.92,0.99,5.8
LK-DAI-PH3BN,4797811057038,Anchor Cheese 1L,Dairy Products,Cheese,Anchor,1L,1259.95,1077.31,19,True,MEDIUM,Ratnapura Dairy Products Supply Co. WGL,ANC-ANCH-1L-2P,6,3,37,76,89.77,1.09,2.0
LK-DAI-JRP7D,4790715800977,Ambewela Curd 500ml,Dairy Products,Curd,Ambewela,500ml,390.0,335.86,10,True,MEDIUM,Nestlé Lanka PLC,AMB-AMBE-500M-TD,24,3,24,18,2.57,0.86,45.8
LK-DAI-NLR7X,4799097228584,Highland Curd 200g,Dairy Products,Curd,Highland,200g,310.0,272.62,18,True,MEDIUM,Kotmale Dairy Products,HIG-HIGH-200G-ZX,24,2,34,34,10.05,1.16,16.6
LK-DAI-LR59P,4798736932387,Ambewela Yogurt 150g,Dairy Products,Yogurt,Ambewela,150g,410.0,348.89,15,True,MEDIUM,Fonterra Brands Lanka,AMB-AMBE-150G-CS,24,2,38,55,4.1,1.02,45.4
LK-DAI-Q9FJC,4796317552979,Ambewela Cheese 1L,Dairy Products,Cheese,Ambewela,1L,1320.0,1162.03,13,True,MEDIUM,Matara Dairy Products Supply Co. CZK,AMB-AMBE-1L-3C,6,2,34,34,16.5,1.15,10.1
LK-DAI-P2EE4,4798611460363,Ambewela Fresh Milk 400g,Dairy Products,Fresh Milk,Ambewela,400g,799.9,709.91,11,True,MEDIUM,Nestlé Lanka PLC,AMB-AMBE-400G-FL,12,1,33,14,2.66,1.24,60.8
LK-DAI-SQ96F,4794034454590,Ambewela Fresh Milk 500ml,Dairy Products,Fresh Milk,Ambewela,500ml,270.0,236.26,19,True,MEDIUM,Negombo Dairy Products Supply Co. ASM,AMB-AMBE-500M-45,6,1,26,19,23.02,1.23,5.5
LK-DAI-28TJG,4797368385097,Ambewela Butter 1L,Dairy Products,Butter,Ambewela,1L,939.9,829.4,15,True,MEDIUM,Negombo Dairy Products Supply Co. ASM,AMB-AMBE-1L-6B,24,2,28,34,4.11,1.01,33.4
LK-DAI-SBRTS,4798437700629,Ambewela Curd 200g,Dairy Products,Curd,Ambewela,200g,319.9,279.46,18,True,MEDIUM,Matara Dairy Products Supply Co. CZK,AMB-AMBE-200G-XX,24,1,31,45,9.53,0.96,15.9
LK-DAI-8Y5J8,4795280016174,Highland Cheese 1L,Dairy Products,Cheese,Highland,1L,1229.95,1090.1,8,True,MEDIUM,Ambewela Dairy Farm,HIG-HIGH-1L-TV,12,2,56,3,22.12,1.12,12.4
LK-DAI-9FCDF,4797078129455,Nespray Cheese 80g,Dairy Products,Cheese,Nespray,80g,1510.0,1318.37,21,True,MEDIUM,Matara Dairy Products Supply Co. CZK,NES-NESP-80G-3E,24,2,14,16,2.72,1.23,25.2
LK-DAI-RWYKN,4793728756798,Highland Cheese 200g,Dairy Products,Cheese,Highland,200g,1080.0,955.39,18,True,MEDIUM,Kalutara Dairy Products Supply Co. T96,HIG-HIGH-200G-HP,6,2,38,70,15.57,1.23,12.0
LK-DAI-E7CTE,4790791161146,Nespray Flavoured Milk 500ml,Dairy Products,Dairy Other,Nespray,500ml,519.95,450.71,21,True,MEDIUM,Ratnapura Dairy Products Supply Co. 547,NES-NESP-500M-SS,12,1,18,15,6.85,1.15,12.9
LK-DAI-9PXMR,4797748770079,Ambewela Butter 200g,Dairy Products,Butter,Ambewela,200g,1599.95,1372.11,20,True,MEDIUM,Kalutara Dairy Products Supply Co. T96,AMB-AMBE-200G-HK,12,2,23,35,10.66,1.11,10.6
LK-DAI-D434B,4792865383959,Nespray Flavoured Milk 150g,Dairy Products,Dairy Other,Nespray,150g,519.9,460.1,14,True,MEDIUM,Matara Dairy Products Supply Co. CZK,NES-NESP-150G-E4,12,3,60,32,60.52,1.16,4.9
LK-DAI-B6CR9,4798088669320,Nespray Butter 200g,Dairy Products,Butter,Nespray,200g,810.0,722.84,19,True,MEDIUM,Fonterra Brands Lanka,NES-NESP-200G-9C,24,2,29,46,61.59,1.13,2.3
LK-DAI-4YD8U,4794565726760,Nespray Butter 500ml,Dairy Products,Butter,Nespray,500ml,1100.0,947.42,16,True,MEDIUM,Negombo Dairy Products Supply Co. ASM,NES-NESP-500M-TF,24,2,44,10,4.9,1.04,44.0
LK-DAI-KDM5M,4796930326452,Nespray Butter 150g,Dairy Products,Butter,Nespray,150g,1659.9,1456.01,9,True,MEDIUM,Kotmale Dairy Products,NES-NESP-150G-Z6,6,2,12,0,5.52,1.25,10.7
LK-DAI-F5XKK,4794767512581,Nespray Butter 80g,Dairy Products,Butter,Nespray,80g,1619.9,1417.4,12,True,MEDIUM,Ambewela Dairy Farm,NES-NESP-80G-8B,6,2,25,0,25.31,1.22,4.8
LK-DAI-KY3LQ,4797237225936,Ambewela Cheese 80g,Dairy Products,Cheese,Ambewela,80g,1289.95,1093.57,9,True,MEDIUM,Nestlé Lanka PLC,AMB-AMBE-80G-CQ,6,3,58,0,9.17,1.13,31.0
LK-DAI-6ATNN,4793318838453,Kotmale Curd 1L,Dairy Products,Curd,Kotmale,1L,409.95,349.26,10,True,MEDIUM,Ratnapura Dairy Products Supply Co. 547,KOT-KOTM-1L-FJ,12,3,47,64,29.15,1.03,7.9
LK-DAI-H842B,4796455442156,Nespray Curd 1L,Dairy Products,Curd,Nespray,1L,460.0,391.12,17,True,MEDIUM,Matara Dairy Products Supply Co. CZK,NES-NESP-1L-Q7,24,2,39,58,15.09,1.1,12.7
LK-DAI-PSJPC,4793979978338,Ambewela Yogurt 200g,Dairy Products,Yogurt,Ambewela,200g,340.0,295.31,12,True,MEDIUM,Nestlé Lanka PLC,AMB-AMBE-200G-ZB,6,2,18,26,8.49,1.12,10.4
LK-DAI-3553C,4796734767147,Anchor Yogurt 80g,Dairy Products,Yogurt,Anchor,80g,120.0,106.41,7,True,MEDIUM,Ratnapura Dairy Products Supply Co. WGL,ANC-ANCH-80G-5R,6,2,58,0,47.3,1.06,6.0
LK-DAI-3R6UP,4799639949595,Nespray Curd 150g,Dairy Products,Curd,Nespray,150g,249.9,221.9,12,True,MEDIUM,Highland Milk Cooperative,NES-NESP-150G-AN,24,2,32,32,7.08,1.16,22.1
LK-DAI-KFBK7,4793663256735,Ambewela Cheese 500ml,Dairy Products,Cheese,Ambewela,500ml,1000.0,882.59,7,True,MEDIUM,Kotmale Dairy Products,AMB-AMBE-500M-LP,12,3,29,0,5.67,1.12,25.1
LK-DAI-53B6P,4792644789378,Kotmale Cheese 80g,Dairy Products,Cheese,Kotmale,80g,899.95,778.37,11,True,MEDIUM,Kalutara Dairy Products Supply Co. T96,KOT-KOTM-80G-YZ,24,2,17,6,2.01,1.18,41.4
LK-DAI-ZGAUY,4797346694470,Anchor Yogurt 1L,Dairy Products,Yogurt,Anchor,1L,320.0,281.3,19,True,MEDIUM,Ambewela Dairy Farm,ANC-ANCH-1L-Q6,24,1,59,105,20.81,0.9,13.9
LK-DAI-FN6V6,4797198883749,Ambewela Fresh Milk 1L,Dairy Products,Fresh Milk,Ambewela,1L,429.95,375.11,21,True,MEDIUM,Ambewela Dairy Farm,AMB-AMBE-1L-SY,6,3,44,66,5.35,0.91,40.3
LK-DAI-2T3LS,4793435486957,Kotmale Fresh Milk 500ml,Dairy Products,Fresh Milk,Kotmale,500ml,259.95,221.87,17,True,MEDIUM,Kotmale Dairy Products,KOT-KOTM-500M-HM,6,2,36,44,18.81,0.85,9.4
LK-DAI-AVDP8,4796474769111,Anchor Flavoured Milk 150g,Dairy Products,Dairy Other,Anchor,150g,220.0,193.42,13,True,MEDIUM,Ratnapura Dairy Products Supply Co. 547,ANC-ANCH-150G-FM,6,1,33,17,4.56,1.18,35.5
LK-DAI-ECCVH,4795893335280,Highland Cheese 80g,Dairy Products,Cheese,Highland,80g,1110.0,954.75,18,True,MEDIUM,Ratnapura Dairy Products Supply Co. 547,HIG-HIGH-80G-3A,6,2,44,62,12.36,0.86,17.4
LK-DAI-BEMUY,4797181580617,Highland Yogurt 200g,Dairy Products,Yogurt,Highland,200g,370.0,330.15,21,True,MEDIUM,Ratnapura Dairy Products Supply Co. WGL,HIG-HIGH-200G-UH,6,3,52,103,80.94,0.98,3.1
LK-DAI-46F59,4791708049298,Highland Fresh Milk 150g,Dairy Products,Fresh Milk,Highland,150g,740.0,632.48,16,True,MEDIUM,Ambewela Dairy Farm,HIG-HIGH-150G-LZ,6,3,56,30,16.9,1.09,16.2
LK-DAI-CSCDP,4797177588566,Anchor Butter 1L,Dairy Products,Butter,Anchor,1L,939.9,823.62,9,True,MEDIUM,Kotmale Dairy Products,ANC-ANCH-1L-6S,24,1,36,29,26.8,1.23,6.6
LK-FRO-D2ZE5,4795712118605,Ice Cream Vanilla Tub,Frozen & Chilled,Ice Cream,Cargills,1L,1219.9,1057.76,88,True,MEDIUM,Keells Food Products,CAR-ICEC-1L-FH,24,2,39,72,7.95,1.61,24.0
LK-FRO-9JD5K,4793145968897,Ice Cream Chocolate Tub,Frozen & Chilled,Ice Cream,Cargills,1L,1549.95,1326.77,121,True,MEDIUM,Keells Food Products,CAR-ICEC-1L-B2,24,1,30,58,18.8,1.37,7.8
LK-FRO-5AH3T,4791804460812,Frozen Chicken Nuggets,Frozen & Chilled,Frozen Foods,Keells,500g,609.95,497.73,85,True,MEDIUM,Ambalangoda Frozen Supply Co. Z8Y,KEE-FROZ-500G-9G,12,1,37,38,11.42,1.08,15.9
LK-FRO-C4J7S,4795669839851,Frozen Paratha,Frozen & Chilled,Frozen Foods,Cargills,5 pcs,990.0,860.01,115,True,MEDIUM,Ambalangoda Frozen Supply Co. Z8Y,CAR-FROZ-5PCS-C9,12,2,31,67,1.82,1.1,83.5
LK-FRO-MWNU7,4796691953010,Frozen Mixed Vegetables,Frozen & Chilled,Frozen Foods,Cargills,500g,1040.0,855.93,140,True,MEDIUM,Kalutara Frozen Supply Co. B28,CAR-FROZ-500G-U9,6,3,15,25,1.23,1.21,59.8
LK-FRO-J62FH,4796628660349,Frozen Fish Fingers,Frozen & Chilled,Frozen Foods,Keells,500g,1309.95,1066.53,129,True,MEDIUM,Ambalangoda Frozen Supply Co. Z8Y,KEE-FROZ-500G-JT,12,3,27,49,1.87,0.91,70.7
LK-FRO-9JPFK,4795242352562,Cargills Frozen Sausages 1L,Frozen & Chilled,Frozen Foods,Cargills,1L,919.9,795.56,123,True,MEDIUM,Cargills (Ceylon) PLC,CAR-CARG-1L-AW,24,2,31,49,27.8,0.99,5.5
LK-FRO-XNFNH,4798456059937,Kist Frozen Vegetables 1kg,Frozen & Chilled,Frozen Foods,Kist,1kg,769.95,634.96,88,True,MEDIUM,Kurunegala Frozen Supply Co. 7U5,KIS-KIST-1KG-KR,6,2,35,67,2.67,1.2,64.2
LK-FRO-TETB9,4798343779825,Keells Frozen Paratha 1L,Frozen & Chilled,Frozen Foods,Keells,1L,1000.0,852.79,57,True,MEDIUM,Kurunegala Frozen Supply Co. 7U5,KEE-KEEL-1L-CK,6,1,25,53,1.94,1.05,63.1
LK-FRO-C2KVL,4796578963552,Kist Frozen Vegetables 1L,Frozen & Chilled,Frozen Foods,Kist,1L,1270.0,1058.14,33,True,MEDIUM,Ambalangoda Frozen Supply Co. T87,KIS-KIST-1L-86,12,2,39,51,17.84,1.05,10.7
LK-FRO-WVUMJ,4795351178824,Cargills Ice Cream 500g,Frozen & Chilled,Ice Cream,Cargills,500g,1040.0,843.88,68,True,MEDIUM,Ambalangoda Frozen Supply Co. T87,CAR-CARG-500G-BX,6,2,20,30,4.84,1.31,20.2
LK-FRO-2CJ9V,4795871207530,Keells Ice Cream 5 pcs,Frozen & Chilled,Ice Cream,Keells,5 pcs,1050.0,876.99,127,True,MEDIUM,Keells Food Products,KEE-KEEL-5PCS-P2,24,2,31,43,12.15,1.28,12.5
LK-FRO-SSQAH,4790614452994,Kist Frozen Nuggets 500g,Frozen & Chilled,Frozen Foods,Kist,500g,1069.95,866.96,51,True,MEDIUM,Kalutara Frozen Supply Co. B28,KIS-KIST-500G-VY,24,3,21,30,1.67,1.17,61.6
LK-FRO-QRT6L,4799697010039,Elephant House Frozen Paratha 1L,Frozen & Chilled,Frozen Foods,Elephant House,1L,539.95,437.16,88,True,MEDIUM,Kurunegala Frozen Supply Co. 7U5,ELE-ELEP-1L-QU,12,3,23,44,1.12,1.07,100.6
LK-FRO-3DJHZ,4799927943762,Kist Frozen Sausages 500g,Frozen & Chilled,Frozen Foods,Kist,500g,520.0,421.47,151,True,MEDIUM,Kandy Frozen Supply Co. E6G,KIS-KIST-500G-J9,12,1,18,25,2.32,1.2,38.0
LK-FRO-HVP37,4794777407037,Elephant House Ice Cream 500g,Frozen & Chilled,Ice Cream,Elephant House,500g,1310.0,1111.13,82,True,MEDIUM,Kalutara Frozen Supply Co. B28,ELE-ELEP-500G-24,12,3,12,14,0.4,1.63,147.0
LK-FRO-JHP4L,4797847264394,Kist Frozen Sausages 5 pcs,Frozen & Chilled,Frozen Foods,Kist,5 pcs,1389.9,1114.86,167,True,MEDIUM,Kandy Frozen Supply Co. E6G,KIS-KIST-5PCS-NA,12,2,32,57,8.44,1.11,18.6
LK-FRO-YQGMN,4794435849810,Kist Frozen Paratha 500g,Frozen & Chilled,Frozen Foods,Kist,500g,830.0,670.03,169,True,MEDIUM,Keells Food Products,KIS-KIST-500G-V5,12,1,16,34,1.0,1.01,78.4
LK-FRO-VQ2SG,4791659558597,Cargills Ice Cream 5 pcs,Frozen & Chilled,Ice Cream,Cargills,5 pcs,1309.95,1068.72,34,True,MEDIUM,Kurunegala Frozen Supply Co. 7U5,CAR-CARG-5PCS-LE,24,2,27,47,5.52,1.66,24.0
LK-FRO-75989,4795935861340,Elephant House Frozen Paratha 500g,Frozen & Chilled,Frozen Foods,Elephant House,500g,1310.0,1121.84,132,True,MEDIUM,Keells Food Products,ELE-ELEP-500G-9S,24,1,30,46,3.66,0.86,40.2
LK-FRO-JNNA9,4796150011138,Cargills Frozen Nuggets 1L,Frozen & Chilled,Frozen Foods,Cargills,1L,969.95,812.87,155,True,MEDIUM,Ambalangoda Frozen Supply Co. Z8Y,CAR-CARG-1L-GX,12,1,21,31,2.71,0.95,38.0
LK-FRO-FA3G2,4794790499156,Cargills Frozen Sausages 10 pcs,Frozen & Chilled,Frozen Foods,Cargills,10 pcs,1169.95,968.1,33,True,MEDIUM,Ratnapura Frozen Supply Co. X2T,CAR-CARG-10PC-QB,12,3,31,10,7.36,1.0,20.6
LK-FRO-7M5VQ,4792058699720,Elephant House Ice Cream 5 pcs,Frozen & Chilled,Ice Cream,Elephant House,5 pcs,969.9,788.47,79,True,MEDIUM,Kurunegala Frozen Supply Co. 7U5,ELE-ELEP-5PCS-Z8,6,2,23,48,7.13,1.66,15.8
LK-FRO-79PM4,4790968568884,Elephant House Frozen Vegetables 5 pcs,Frozen & Chilled,Frozen Foods,Elephant House,5 pcs,459.95,388.61,54,True,MEDIUM,Ambalangoda Frozen Supply Co. T87,ELE-ELEP-5PCS-4E,6,2,33,59,9.32,1.0,17.3
LK-FRO-N4TT9,4790263276767,Cargills Frozen Vegetables 10 pcs,Frozen & Chilled,Frozen Foods,Cargills,10 pcs,1270.0,1076.88,84,True,MEDIUM,Kandy Frozen Supply Co. 293,CAR-CARG-10PC-3S,24,2,28,46,1.91,0.95,71.8
LK-FRO-T6SWC,4792405377295,Cargills Frozen Paratha 10 pcs,Frozen & Chilled,Frozen Foods,Cargills,10 pcs,699.9,590.45,91,True,MEDIUM,Cargills (Ceylon) PLC,CAR-CARG-10PC-T3,12,2,32,58,2.75,1.03,57.0
LK-FRO-AZQPN,4798569329132,Keells Frozen Sausages 5 pcs,Frozen & Chilled,Frozen Foods,Keells,5 pcs,719.9,577.41,164,True,MEDIUM,Kalutara Frozen Supply Co. B28,KEE-KEEL-5PCS-2V,24,1,34,72,0.35,0.94,476.0
LK-FRO-PMSBW,4791026583870,Keells Frozen Paratha 10 pcs,Frozen & Chilled,Frozen Foods,Keells,10 pcs,1369.9,1191.08,128,True,MEDIUM,Ambalangoda Frozen Supply Co. Z8Y,KEE-KEEL-10PC-5P,6,2,24,40,9.38,1.24,12.5
LK-FRO-9N8SH,4795920941019,Keells Frozen Sausages 10 pcs,Frozen & Chilled,Frozen Foods,Keells,10 pcs,1310.0,1115.12,64,True,MEDIUM,Cargills (Ceylon) PLC,KEE-KEEL-10PC-M9,12,1,27,54,4.29,0.98,30.8
LK-FRO-8NNRB,4796144357549,Kist Frozen Nuggets 5 pcs,Frozen & Chilled,Frozen Foods,Kist,5 pcs,1379.95,1114.56,151,True,MEDIUM,Ratnapura Frozen Supply Co. X2T,KIS-KIST-5PCS-PX,6,2,33,64,0.67,0.86,241.3
LK-FRO-D8FHL,4799236139122,Kist Ice Cream 10 pcs,Frozen & Chilled,Ice Cream,Kist,10 pcs,970.0,819.66,150,True,MEDIUM,Kandy Frozen Supply Co. E6G,KIS-KIST-10PC-97,12,2,31,57,11.75,1.6,12.9
LK-FRO-6AXA9,4799106510648,Keells Frozen Vegetables 5 pcs,Frozen & Chilled,Frozen Foods,Keells,5 pcs,1369.9,1150.09,158,True,MEDIUM,Cargills (Ceylon) PLC,KEE-KEEL-5PCS-9C,12,2,36,62,7.95,1.14,22.2
LK-FRO-7P5XU,4790449272804,Kist Frozen Vegetables 500g,Frozen & Chilled,Frozen Foods,Kist,500g,639.95,544.44,119,True,MEDIUM,Ambalangoda Frozen Supply Co. Z8Y,KIS-KIST-500G-AN,6,3,29,60,7.91,1.16,18.0
LK-FRO-WTSTC,4798895930323,Elephant House Ice Cream 1L,Frozen & Chilled,Ice Cream,Elephant House,1L,1119.9,933.84,162,True,MEDIUM,Cargills (Ceylon) PLC,ELE-ELEP-1L-7Z,12,1,39,74,4.64,1.57,41.2
LK-FRO-J32NQ,4790923565408,Kist Frozen Nuggets 1L,Frozen & Chilled,Frozen Foods,Kist,1L,1159.95,940.49,39,True,MEDIUM,Kandy Frozen Supply Co. E6G,KIS-KIST-1L-B6,24,1,37,25,4.78,1.17,37.9
LK-FRO-PFWAB,4794231820686,Keells Frozen Nuggets 500g,Frozen & Chilled,Frozen Foods,Keells,500g,649.95,559.46,121,True,MEDIUM,Hambantota Frozen Supply Co. SAH,KEE-KEEL-500G-DV,24,1,37,70,6.11,0.87,29.7
LK-FRO-Y696P,4799824553811,Cargills Frozen Nuggets 5 pcs,Frozen & Chilled,Frozen Foods,Cargills,5 pcs,729.95,610.92,162,True,MEDIUM,Kandy Frozen Supply Co. 293,CAR-CARG-5PCS-FL,12,2,39,73,20.06,1.02,9.5
LK-FRO-ZZ74F,4795590308198,Elephant House Frozen Sausages 10 pcs,Frozen & Chilled,Frozen Foods,Elephant House,10 pcs,570.0,474.82,77,True,MEDIUM,Kalutara Frozen Supply Co. B28,ELE-ELEP-10PC-XV,12,3,24,15,2.25,1.13,52.3
LK-FRO-BJSU4,4794035076951,Keells Frozen Sausages 500g,Frozen & Chilled,Frozen Foods,Keells,500g,979.9,802.34,113,True,MEDIUM,Kandy Frozen Supply Co. 293,KEE-KEEL-500G-YP,12,2,28,47,0.57,1.13,240.7
LK-FRO-99TZM,4795412387240,Elephant House Ice Cream 10 pcs,Frozen & Chilled,Ice Cream,Elephant House,10 pcs,1239.9,1010.71,145,True,MEDIUM,Ambalangoda Frozen Supply Co. Z8Y,ELE-ELEP-10PC-R8,24,3,31,38,4.52,1.72,33.6
LK-FRO-47SG5,4796239567129,Cargills Frozen Vegetables 1L,Frozen & Chilled,Frozen Foods,Cargills,1L,1019.95,827.07,175,True,MEDIUM,Kandy Frozen Supply Co. 293,CAR-CARG-1L-ZQ,12,1,17,33,1.05,1.14,79.3
LK-FRO-K83ZN,4791451341700,Elephant House Frozen Paratha 10 pcs,Frozen & Chilled,Frozen Foods,Elephant House,10 pcs,740.0,592.68,155,True,MEDIUM,Cargills (Ceylon) PLC,ELE-ELEP-10PC-XU,12,2,29,41,4.4,1.24,32.3
LK-FRO-PPZ84,4796808950499,Kist Frozen Sausages 1L,Frozen & Chilled,Frozen Foods,Kist,1L,799.9,688.2,172,True,MEDIUM,Keells Food Products,KIS-KIST-1L-B4,24,1,21,29,2.6,0.98,39.6
LK-FRO-7QQ32,4790931608982,Keells Ice Cream 500g,Frozen & Chilled,Ice Cream,Keells,500g,1159.95,956.6,178,True,MEDIUM,Ambalangoda Frozen Supply Co. T87,KEE-KEEL-500G-YB,6,1,23,36,1.83,1.25,61.6
LK-FRO-DCNRP,4799637902035,Keells Frozen Paratha 500g,Frozen & Chilled,Frozen Foods,Keells,500g,1249.95,1071.84,102,True,MEDIUM,Ambalangoda Frozen Supply Co. T87,KEE-KEEL-500G-6L,24,1,29,50,2.38,1.23,59.7
LK-FRO-TJAQV,4798124266476,Elephant House Frozen Nuggets 1kg,Frozen & Chilled,Frozen Foods,Elephant House,1kg,540.0,452.55,93,True,MEDIUM,Kurunegala Frozen Supply Co. 7U5,ELE-ELEP-1KG-K4,12,2,39,47,6.44,1.16,29.7
LK-FRO-F86VT,4799924687140,Elephant House Frozen Vegetables 10 pcs,Frozen & Chilled,Frozen Foods,Elephant House,10 pcs,1170.0,996.63,113,True,MEDIUM,Kurunegala Frozen Supply Co. 7U5,ELE-ELEP-10PC-2P,24,2,19,24,6.74,1.01,13.8
LK-FRO-A2T22,4796811822929,Cargills Frozen Sausages 500g,Frozen & Chilled,Frozen Foods,Cargills,500g,639.95,514.37,126,True,MEDIUM,Kandy Frozen Supply Co. E6G,CAR-CARG-500G-JT,12,3,16,22,1.83,0.94,42.8
LK-FRO-P49VW,4797830455969,Keells Ice Cream 10 pcs,Frozen & Chilled,Ice Cream,Keells,10 pcs,1449.95,1219.8,46,True,MEDIUM,Kandy Frozen Supply Co. 293,KEE-KEEL-10PC-63,24,2,38,76,36.19,1.2,5.1
LK-FRO-5SSSP,4796327056146,Kist Ice Cream 1L,Frozen & Chilled,Ice Cream,Kist,1L,1169.9,983.47,152,True,MEDIUM,Kalutara Frozen Supply Co. B28,KIS-KIST-1L-YN,12,2,17,21,1.47,1.61,56.7
