Date,AvgTemperatureC,MaxTemperatureC,MinTemperatureC,RainfallMM,RainfallIntensity,Condition,HumidityPercent,WindSpeedKmh,IsExtremeWeather
2024-12-21,27.4,30.4,24.3,0.0,,Clear,74,13,False
2024-12-22,28.6,32.4,24.9,0.0,,Clear,76,13,False
2024-12-23,27.4,29.9,24.9,0.0,,Partly Cloudy,80,10,False
2024-12-24,27.1,29.1,25.2,16.1,Moderate,Moderate Rain,78,11,False
2024-12-25,27.9,30.3,25.4,0.0,,Clear,75,10,False
2024-12-26,26.4,28.7,24.0,33.3,Heavy,Heavy Rain,92,17,False
2024-12-27,27.2,29.7,24.7,0.0,,Clear,69,12,False
2024-12-28,26.9,30.2,23.6,0.0,,Cloudy,74,12,False
2024-12-29,26.8,29.8,23.7,14.2,Moderate,Moderate Rain,90,14,False
2024-12-30,27.1,29.9,24.3,0.0,,Partly Cloudy,74,14,False
